model number,model name,time taken to build model (in seconds),number of partitions,partition size
0,model_with_separate_variables_0,0.009652853012084961,5,5
1,model_with_separate_variables_1,0.00945591926574707,5,5
2,model_with_separate_variables_2,0.009457111358642578,5,5
3,model_with_separate_variables_3,0.009502887725830078,5,5
4,model_with_separate_variables_4,0.009539604187011719,5,5
5,model_with_separate_variables_5,0.009574174880981445,5,5
6,model_with_separate_variables_6,0.009616851806640625,5,5
7,model_with_separate_variables_7,0.009682893753051758,5,5
8,model_with_separate_variables_8,0.009694099426269531,5,5
9,model_with_separate_variables_9,0.009727954864501953,5,5
10,model_with_separate_variables_10,0.00977182388305664,5,5
11,model_with_separate_variables_11,0.009842872619628906,5,5
12,model_with_separate_variables_12,0.009853839874267578,5,5
13,model_with_separate_variables_13,0.009895801544189453,5,5
14,model_with_separate_variables_14,0.00995492935180664,5,5
15,model_with_separate_variables_15,0.009969234466552734,5,5
16,model_with_separate_variables_16,0.010041952133178711,5,5
17,model_with_separate_variables_17,0.010087013244628906,5,5
18,model_with_separate_variables_18,0.010120153427124023,5,5
19,model_with_separate_variables_19,0.010160207748413086,5,5
20,model_with_separate_variables_20,0.010193824768066406,5,5
21,model_with_separate_variables_21,0.010246753692626953,5,5
22,model_with_separate_variables_22,0.01027822494506836,5,5
23,model_with_separate_variables_23,0.010375261306762695,5,5
24,model_with_separate_variables_24,0.01036214828491211,5,5
0,model_with_pwl_costs_0,0.009309768676757812,5,5
1,model_with_pwl_costs_1,0.009296894073486328,5,5
2,model_with_pwl_costs_2,0.009299039840698242,5,5
3,model_with_pwl_costs_3,0.009304046630859375,5,5
4,model_with_pwl_costs_4,0.009311914443969727,5,5
5,model_with_pwl_costs_5,0.009317159652709961,5,5
6,model_with_pwl_costs_6,0.009320259094238281,5,5
7,model_with_pwl_costs_7,0.009322166442871094,5,5
8,model_with_pwl_costs_8,0.00933384895324707,5,5
9,model_with_pwl_costs_9,0.009348630905151367,5,5
10,model_with_pwl_costs_10,0.009347200393676758,5,5
11,model_with_pwl_costs_11,0.009346961975097656,5,5
12,model_with_pwl_costs_12,0.009356021881103516,5,5
13,model_with_pwl_costs_13,0.009361743927001953,5,5
14,model_with_pwl_costs_14,0.009367942810058594,5,5
15,model_with_pwl_costs_15,0.009368181228637695,5,5
16,model_with_pwl_costs_16,0.00937509536743164,5,5
17,model_with_pwl_costs_17,0.00938868522644043,5,5
18,model_with_pwl_costs_18,0.009385824203491211,5,5
19,model_with_pwl_costs_19,0.009394168853759766,5,5
20,model_with_pwl_costs_20,0.009401798248291016,5,5
21,model_with_pwl_costs_21,0.009407997131347656,5,5
22,model_with_pwl_costs_22,0.009411096572875977,5,5
23,model_with_pwl_costs_23,0.009417057037353516,5,5
24,model_with_pwl_costs_24,0.009418964385986328,5,5
0,model_with_separate_variables_0,0.002111196517944336,20,5
1,model_with_separate_variables_1,0.002262115478515625,20,5
2,model_with_separate_variables_2,0.0023889541625976562,20,5
3,model_with_separate_variables_3,0.0025429725646972656,20,5
4,model_with_separate_variables_4,0.002801179885864258,20,5
5,model_with_separate_variables_5,0.0028433799743652344,20,5
6,model_with_separate_variables_6,0.0029942989349365234,20,5
7,model_with_separate_variables_7,0.0031342506408691406,20,5
8,model_with_separate_variables_8,0.0033082962036132812,20,5
9,model_with_separate_variables_9,0.0034530162811279297,20,5
10,model_with_separate_variables_10,0.0036482810974121094,20,5
