model number,model name,time taken to optimise (in seconds),number of partitions,partition size,time taken to build model (in seconds)
0,model_with_separate_variables_0,0.0003859996795654297,5,5,0.00965285301208496
1,model_with_separate_variables_1,0.0001068115234375,5,5,0.00945591926574707
2,model_with_separate_variables_2,9.894371032714844e-05,5,5,0.009457111358642578
3,model_with_separate_variables_3,9.226799011230467e-05,5,5,0.009502887725830078
4,model_with_separate_variables_4,8.916854858398438e-05,5,5,0.00953960418701172
5,model_with_separate_variables_5,8.678436279296875e-05,5,5,0.009574174880981444
6,model_with_separate_variables_6,8.797645568847656e-05,5,5,0.009616851806640623
7,model_with_separate_variables_7,8.58306884765625e-05,5,5,0.009682893753051758
8,model_with_separate_variables_8,8.606910705566406e-05,5,5,0.009694099426269531
9,model_with_separate_variables_9,8.487701416015625e-05,5,5,0.009727954864501951
10,model_with_separate_variables_10,8.702278137207031e-05,5,5,0.00977182388305664
11,model_with_separate_variables_11,8.511543273925781e-05,5,5,0.009842872619628906
12,model_with_separate_variables_12,8.559226989746094e-05,5,5,0.009853839874267578
13,model_with_separate_variables_13,8.606910705566406e-05,5,5,0.009895801544189451
14,model_with_separate_variables_14,8.916854858398438e-05,5,5,0.00995492935180664
15,model_with_separate_variables_15,8.511543273925781e-05,5,5,0.009969234466552734
16,model_with_separate_variables_16,8.606910705566406e-05,5,5,0.010041952133178713
17,model_with_separate_variables_17,8.392333984375e-05,5,5,0.010087013244628906
18,model_with_separate_variables_18,8.416175842285156e-05,5,5,0.010120153427124023
19,model_with_separate_variables_19,8.511543273925781e-05,5,5,0.010160207748413086
20,model_with_separate_variables_20,8.296966552734375e-05,5,5,0.010193824768066406
21,model_with_separate_variables_21,8.487701416015625e-05,5,5,0.010246753692626951
22,model_with_separate_variables_22,8.511543273925781e-05,5,5,0.01027822494506836
23,model_with_separate_variables_23,8.392333984375e-05,5,5,0.010375261306762695
24,model_with_separate_variables_24,8.511543273925781e-05,5,5,0.01036214828491211
0,model_with_pwl_costs_0,0.0001468658447265625,5,5,0.009309768676757812
1,model_with_pwl_costs_1,9.512901306152344e-05,5,5,0.009296894073486328
2,model_with_pwl_costs_2,9.512901306152344e-05,5,5,0.009299039840698242
3,model_with_pwl_costs_3,9.298324584960938e-05,5,5,0.009304046630859377
4,model_with_pwl_costs_4,9.179115295410156e-05,5,5,0.009311914443969728
