model number,model name,time taken to optimise (in seconds),number of partitions,partition size
0,model_with_separate_variables_0,0.0003859996795654297,5,5
1,model_with_separate_variables_1,0.0001068115234375,5,5
2,model_with_separate_variables_2,9.894371032714844e-05,5,5
3,model_with_separate_variables_3,9.226799011230469e-05,5,5
4,model_with_separate_variables_4,8.916854858398438e-05,5,5
5,model_with_separate_variables_5,8.678436279296875e-05,5,5
6,model_with_separate_variables_6,8.797645568847656e-05,5,5
7,model_with_separate_variables_7,8.58306884765625e-05,5,5
8,model_with_separate_variables_8,8.606910705566406e-05,5,5
9,model_with_separate_variables_9,8.487701416015625e-05,5,5
10,model_with_separate_variables_10,8.702278137207031e-05,5,5
11,model_with_separate_variables_11,8.511543273925781e-05,5,5
12,model_with_separate_variables_12,8.559226989746094e-05,5,5
13,model_with_separate_variables_13,8.606910705566406e-05,5,5
14,model_with_separate_variables_14,8.916854858398438e-05,5,5
15,model_with_separate_variables_15,8.511543273925781e-05,5,5
16,model_with_separate_variables_16,8.606910705566406e-05,5,5
17,model_with_separate_variables_17,8.392333984375e-05,5,5
18,model_with_separate_variables_18,8.416175842285156e-05,5,5
19,model_with_separate_variables_19,8.511543273925781e-05,5,5
20,model_with_separate_variables_20,8.296966552734375e-05,5,5
21,model_with_separate_variables_21,8.487701416015625e-05,5,5
22,model_with_separate_variables_22,8.511543273925781e-05,5,5
23,model_with_separate_variables_23,8.392333984375e-05,5,5
24,model_with_separate_variables_24,8.511543273925781e-05,5,5
0,model_with_pwl_costs_0,0.0001468658447265625,5,5
1,model_with_pwl_costs_1,9.512901306152344e-05,5,5
2,model_with_pwl_costs_2,9.512901306152344e-05,5,5
3,model_with_pwl_costs_3,9.298324584960938e-05,5,5
4,model_with_pwl_costs_4,9.179115295410156e-05,5,5
5,model_with_pwl_costs_5,9.489059448242188e-05,5,5
6,model_with_pwl_costs_6,9.298324584960938e-05,5,5
7,model_with_pwl_costs_7,9.202957153320312e-05,5,5
8,model_with_pwl_costs_8,9.012222290039062e-05,5,5
9,model_with_pwl_costs_9,9.131431579589844e-05,5,5
10,model_with_pwl_costs_10,9.202957153320312e-05,5,5
11,model_with_pwl_costs_11,8.797645568847656e-05,5,5
12,model_with_pwl_costs_12,9.107589721679688e-05,5,5
13,model_with_pwl_costs_13,9.083747863769531e-05,5,5
14,model_with_pwl_costs_14,8.893013000488281e-05,5,5
15,model_with_pwl_costs_15,8.916854858398438e-05,5,5
16,model_with_pwl_costs_16,8.893013000488281e-05,5,5
17,model_with_pwl_costs_17,8.702278137207031e-05,5,5
18,model_with_pwl_costs_18,8.7738037109375e-05,5,5
19,model_with_pwl_costs_19,9.083747863769531e-05,5,5
20,model_with_pwl_costs_20,8.821487426757812e-05,5,5
21,model_with_pwl_costs_21,8.7738037109375e-05,5,5
22,model_with_pwl_costs_22,9.107589721679688e-05,5,5
23,model_with_pwl_costs_23,8.58306884765625e-05,5,5
24,model_with_pwl_costs_24,8.893013000488281e-05,5,5
0,model_with_separate_variables_0,0.00026917457580566406,20,5
1,model_with_separate_variables_1,0.00019502639770507812,20,5
2,model_with_separate_variables_2,0.00019598007202148438,20,5
3,model_with_separate_variables_3,0.00019502639770507812,20,5
4,model_with_separate_variables_4,0.000186920166015625,20,5
5,model_with_separate_variables_5,0.00018906593322753906,20,5
6,model_with_separate_variables_6,0.0001850128173828125,20,5
7,model_with_separate_variables_7,0.0001919269561767578,20,5
8,model_with_separate_variables_8,0.00019097328186035156,20,5
9,model_with_separate_variables_9,0.00019097328186035156,20,5
10,model_with_separate_variables_10,0.00018525123596191406,20,5
11,model_with_separate_variables_11,0.00023818016052246094,20,5
12,model_with_separate_variables_12,0.0001888275146484375,20,5
13,model_with_separate_variables_13,0.0001900196075439453,20,5
14,model_with_separate_variables_14,0.00019097328186035156,20,5
15,model_with_separate_variables_15,0.0001850128173828125,20,5
16,model_with_separate_variables_16,0.00018596649169921875,20,5
17,model_with_separate_variables_17,0.0001862049102783203,20,5
18,model_with_separate_variables_18,0.00018215179443359375,20,5
19,model_with_separate_variables_19,0.00018215179443359375,20,5
20,model_with_separate_variables_20,0.00018930435180664062,20,5
21,model_with_separate_variables_21,0.00018787384033203125,20,5
22,model_with_separate_variables_22,0.000186920166015625,20,5
23,model_with_separate_variables_23,0.00019097328186035156,20,5
24,model_with_separate_variables_24,0.00018715858459472656,20,5
0,model_with_pwl_costs_0,0.000125885009765625,20,5
1,model_with_pwl_costs_1,0.00011491775512695312,20,5
2,model_with_pwl_costs_2,0.00011801719665527344,20,5
3,model_with_pwl_costs_3,0.00012111663818359375,20,5
4,model_with_pwl_costs_4,0.00011420249938964844,20,5
5,model_with_pwl_costs_5,0.00011014938354492188,20,5
6,model_with_pwl_costs_6,0.00010991096496582031,20,5
7,model_with_pwl_costs_7,0.00011396408081054688,20,5
8,model_with_pwl_costs_8,0.00011205673217773438,20,5
9,model_with_pwl_costs_9,0.00010800361633300781,20,5
10,model_with_pwl_costs_10,0.00010895729064941406,20,5
11,model_with_pwl_costs_11,0.00011897087097167969,20,5
12,model_with_pwl_costs_12,0.000110626220703125,20,5
13,model_with_pwl_costs_13,0.00011110305786132812,20,5
14,model_with_pwl_costs_14,0.00011205673217773438,20,5
15,model_with_pwl_costs_15,0.00011014938354492188,20,5
16,model_with_pwl_costs_16,0.00010800361633300781,20,5
17,model_with_pwl_costs_17,0.00011205673217773438,20,5
18,model_with_pwl_costs_18,0.00011706352233886719,20,5
19,model_with_pwl_costs_19,0.00011014938354492188,20,5
20,model_with_pwl_costs_20,0.00011014938354492188,20,5
21,model_with_pwl_costs_21,0.00011086463928222656,20,5
22,model_with_pwl_costs_22,0.00011110305786132812,20,5
23,model_with_pwl_costs_23,0.00011324882507324219,20,5
24,model_with_pwl_costs_24,0.00010800361633300781,20,5
0,model_with_separate_variables_0,0.00045108795166015625,50,5
1,model_with_separate_variables_1,0.0003020763397216797,50,5
2,model_with_separate_variables_2,0.0002980232238769531,50,5
3,model_with_separate_variables_3,0.00028324127197265625,50,5
4,model_with_separate_variables_4,0.0002872943878173828,50,5
5,model_with_separate_variables_5,0.0002770423889160156,50,5
6,model_with_separate_variables_6,0.0002841949462890625,50,5
7,model_with_separate_variables_7,0.0002849102020263672,50,5
8,model_with_separate_variables_8,0.00028705596923828125,50,5
9,model_with_separate_variables_9,0.0002880096435546875,50,5
10,model_with_separate_variables_10,0.00029397010803222656,50,5
11,model_with_separate_variables_11,0.00029015541076660156,50,5
12,model_with_separate_variables_12,0.0002830028533935547,50,5
13,model_with_separate_variables_13,0.00028204917907714844,50,5
14,model_with_separate_variables_14,0.0002880096435546875,50,5
15,model_with_separate_variables_15,0.0002827644348144531,50,5
16,model_with_separate_variables_16,0.00028395652770996094,50,5
17,model_with_separate_variables_17,0.00028705596923828125,50,5
18,model_with_separate_variables_18,0.0002849102020263672,50,5
19,model_with_separate_variables_19,0.00028014183044433594,50,5
20,model_with_separate_variables_20,0.0003299713134765625,50,5
21,model_with_separate_variables_21,0.00038695335388183594,50,5
22,model_with_separate_variables_22,0.00031280517578125,50,5
23,model_with_separate_variables_23,0.0003998279571533203,50,5
24,model_with_separate_variables_24,0.0003769397735595703,50,5
0,model_with_pwl_costs_0,0.00024199485778808594,50,5
1,model_with_pwl_costs_1,0.00020194053649902344,50,5
2,model_with_pwl_costs_2,0.0002338886260986328,50,5
3,model_with_pwl_costs_3,0.00014400482177734375,50,5
4,model_with_pwl_costs_4,0.00015020370483398438,50,5
5,model_with_pwl_costs_5,0.00014209747314453125,50,5
6,model_with_pwl_costs_6,0.00014781951904296875,50,5
7,model_with_pwl_costs_7,0.0001556873321533203,50,5
8,model_with_pwl_costs_8,0.0001418590545654297,50,5
9,model_with_pwl_costs_9,0.00014495849609375,50,5
10,model_with_pwl_costs_10,0.00015401840209960938,50,5
11,model_with_pwl_costs_11,0.00015115737915039062,50,5
12,model_with_pwl_costs_12,0.00014066696166992188,50,5
13,model_with_pwl_costs_13,0.0001399517059326172,50,5
14,model_with_pwl_costs_14,0.0001380443572998047,50,5
15,model_with_pwl_costs_15,0.00014090538024902344,50,5
16,model_with_pwl_costs_16,0.0001418590545654297,50,5
17,model_with_pwl_costs_17,0.00014400482177734375,50,5
18,model_with_pwl_costs_18,0.00019693374633789062,50,5
19,model_with_pwl_costs_19,0.00014209747314453125,50,5
20,model_with_pwl_costs_20,0.00014209747314453125,50,5
21,model_with_pwl_costs_21,0.00014209747314453125,50,5
22,model_with_pwl_costs_22,0.00014591217041015625,50,5
23,model_with_pwl_costs_23,0.0001499652862548828,50,5
24,model_with_pwl_costs_24,0.00014901161193847656,50,5
0,model_with_separate_variables_0,0.0006389617919921875,100,5
1,model_with_separate_variables_1,0.0004947185516357422,100,5
2,model_with_separate_variables_2,0.0005109310150146484,100,5
3,model_with_separate_variables_3,0.0005090236663818359,100,5
4,model_with_separate_variables_4,0.0005018711090087891,100,5
5,model_with_separate_variables_5,0.0005021095275878906,100,5
6,model_with_separate_variables_6,0.0005040168762207031,100,5
7,model_with_separate_variables_7,0.0005180835723876953,100,5
8,model_with_separate_variables_8,0.0005130767822265625,100,5
9,model_with_separate_variables_9,0.0005061626434326172,100,5
10,model_with_separate_variables_10,0.0004942417144775391,100,5
11,model_with_separate_variables_11,0.00046896934509277344,100,5
12,model_with_separate_variables_12,0.000476837158203125,100,5
13,model_with_separate_variables_13,0.00048089027404785156,100,5
14,model_with_separate_variables_14,0.0004661083221435547,100,5
15,model_with_separate_variables_15,0.00047016143798828125,100,5
16,model_with_separate_variables_16,0.0004801750183105469,100,5
17,model_with_separate_variables_17,0.0004830360412597656,100,5
18,model_with_separate_variables_18,0.0004699230194091797,100,5
19,model_with_separate_variables_19,0.000476837158203125,100,5
20,model_with_separate_variables_20,0.0004699230194091797,100,5
21,model_with_separate_variables_21,0.00046825408935546875,100,5
22,model_with_separate_variables_22,0.00047707557678222656,100,5
23,model_with_separate_variables_23,0.000476837158203125,100,5
24,model_with_separate_variables_24,0.0005891323089599609,100,5
0,model_with_pwl_costs_0,0.00034689903259277344,100,5
1,model_with_pwl_costs_1,0.0002181529998779297,100,5
2,model_with_pwl_costs_2,0.00020241737365722656,100,5
3,model_with_pwl_costs_3,0.0001888275146484375,100,5
4,model_with_pwl_costs_4,0.0001957416534423828,100,5
5,model_with_pwl_costs_5,0.00018668174743652344,100,5
6,model_with_pwl_costs_6,0.00019407272338867188,100,5
7,model_with_pwl_costs_7,0.00020503997802734375,100,5
8,model_with_pwl_costs_8,0.0002079010009765625,100,5
9,model_with_pwl_costs_9,0.0002009868621826172,100,5
